date,pst,storage
19970301,0000,100000
19970401,0000,120400
19970501,0000,134900
19970601,0000,128500
19970701,0000,115800
19970801,0000,101700
19970901,0000,87700
19971001,0000,74974
19971101,0000,62637
19971201,0000,50496
19980101,0000,58632
19980201,0000,70374
19980301,0000,77591
19980401,0000,77908
19980501,0000,107106
19980601,0000,134712
19980701,0000,128187
19980801,0000,108468
19980901,0000,88261
19981001,0000,70700
19981101,0000,64800
19981201,0000,70300
19990101,0000,84600
19990201,0000,99000
19990301,0000,92100
19990401,0000,93500
19990501,0000,117500
19990601,0000,131100
19990701,0000,120300
19990801,0000,105800
19990901,0000,93000
19991001,0000,75600
19991101,0000,76100
19991201,0000,71600
20000101,0000,75900
20000201,0000,82200
20000301,0000,82600
20000401,0000,110000
20000501,0000,128500
20000601,0000,121000
20000701,0000,110300
20000801,0000,92600
20000901,0000,79100
20001001,0000,68600
20001101,0000,51800
20001201,0000,50900
20010101,0000,50800
20010201,0000,50800
20010301,0000,61400
20010401,0000,78300
20010501,0000,94200
20010601,0000,85600
20010701,0000,75400
20010801,0000,60000
20010901,0000,44500
20011001,0000,42816
20011101,0000,42264
20011201,0000,41300
20020101,0000,39400
20020201,0000,44100
20020301,0000,55000
20020401,0000,87366
20020501,0000,117800
20020601,0000,120917
20020701,0000,110500
20020801,0000,99100
20020901,0000,85921
20021001,0000,73940
20021101,0000,68971
20021201,0000,69171
20030101,0000,75500
20030201,0000,75807
20030301,0000,83500
20030401,0000,91315
20030501,0000,127914
20030601,0000,132610
20030701,0000,119072
20030801,0000,106200
20030901,0000,92200
20031001,0000,77696
20031101,0000,67385
20031201,0000,62067
20040101,0000,51532
20040201,0000,53500
20040301,0000,67700
20040401,0000,89300
20040501,0000,108700
20040601,0000,105509
20040701,0000,97200
20040801,0000,85400
20040901,0000,74043
20041001,0000,67188
20041101,0000,57400
20041201,0000,51900
20050101,0000,53636
20050201,0000,55240
20050301,0000,66305
20050401,0000,77500
20050501,0000,130250
20050601,0000,133309
20050701,0000,123700
20050801,0000,109000
20050901,0000,95700
20051001,0000,83391
20051101,0000,71587
20051201,0000,105142
20060101,0000,100548
20060201,0000,103923
20060301,0000,99713
20060401,0000,114600
20060501,0000,133309
20060601,0000,130942
20060701,0000,120124
20060801,0000,106736
20060901,0000,97462
20061001,0000,88935
20061101,0000,76016
20061201,0000,69571
20070101,0000,68300
20070201,0000,74600
20070301,0000,86100
20070401,0000,99000
20070501,0000,110100
20070601,0000,106000
20070701,0000,93612
20070801,0000,78862
20070901,0000,68870
20071001,0000,64458
20071101,0000,60279
20071201,0000,56051
20080101,0000,51619
20080201,0000,47116
20080301,0000,49215
20080401,0000,61900
20080501,0000,91087
20080601,0000,90514
20080701,0000,79929
20080801,0000,67978
20080901,0000,58515
20081001,0000,53194
20081101,0000,54525
20081201,0000,49130
20090101,0000,52930
20090201,0000,61594
20090301,0000,75702
20090401,0000,97227
20090501,0000,132700
20090601,0000,129300
20090701,0000,118300
20090801,0000,101600
20090901,0000,86100
20091001,0000,75911
20091101,0000,64651
20091201,0000,49982
20100101,0000,45878
20100201,0000,42737
20100301,0000,49385
20100401,0000,60841
20100501,0000,90178
20100601,0000,116335
20100701,0000,104410
20100801,0000,90746
20100901,0000,82736
20101001,0000,78225
20101101,0000,70774
20101201,0000,78013
20110101,0000,74043
20110201,0000,73425
20110301,0000,69470
20110401,0000,83828
20110501,0000,107106
20110601,0000,125872
20110701,0000,120785
20110801,0000,97538
20110901,0000,85810
20111001,0000,77116
20111101,0000,67276
20111201,0000,57596
20120101,0000,56465
20120201,0000,55151
20120301,0000,72197
20120401,0000,105944
20120501,0000,117764
20120601,0000,115174
20120701,0000,104776
20120801,0000,92264
20120901,0000,80711
20121001,0000,69871
20121101,0000,65914
20121201,0000,64776
20130101,0000,57231
20130201,0000,55151
20130301,0000,63593
20130401,0000,77591
20130501,0000,81759
20130601,0000,80358
20130701,0000,71993
20130801,0000,64845
20130901,0000,61479
20131001,0000,50840
20131101,0000,47532
20131201,0000,43452
20140101,0000,42107
20140201,0000,52229
20140301,0000,62400
20140401,0000,74353
20140501,0000,77126
20140601,0000,70800
20140701,0000,58873
20140801,0000,50754
20140901,0000,47199
20141001,0000,42029
20141101,0000,40260
20141201,0000,41017
20150101,0000,42421
20150201,0000,55780
20150301,0000,58073
20150401,0000,60099
20150501,0000,60941
20150601,0000,55690
20150701,0000,51522
20150801,0000,44542
20150901,0000,40939
20151001,0000,38474
20151101,0000,37381
20151201,0000,41638
20160101,0000,55223
20160201,0000,64553
20160301,0000,83248
20160401,0000,105643
20160501,0000,120761
20160601,0000,120278
20160701,0000,109643
20160801,0000,100389
20160901,0000,92436
20161001,0000,90087
20161101,0000,88273
20161201,0000,108173
20170101,0000,108719
