date,Control,Treatment,weln_8,weln_50,weln_75,wmln_8,wmln_50,wmln_75,eeln_8,eeln_50,eeln_75,emln_8,emln_50,emln_75,welt_8,welt_50,welt_75,wmlt_8,wmlt_50,wmlt_75,eelt_8,eelt_50,eelt_75,emlt_8,emlt_50,emlt_75
11/28/80,0.307396542,0.310145626,0.307493556,0.315148576,0.322537373,0.307414591,0.315527604,0.315453152,0.311401158,0.330221723,0.334052617,0.307499196,0.315083148,0.315430591,0.310142242,0.310144498,0.31018398,0.310142242,0.310142242,0.31014337,0.310200901,0.323735374,0.327979138,0.310142242,0.317991289,0.318329707
11/29/80,0.794249494,0.801442009,0.796351071,0.819203325,0.86292583,0.79429236,0.805349611,0.805313514,0.869316294,0.980264448,1.020750547,0.794476234,0.801781555,0.803735357,0.798937714,0.798943355,0.799305462,0.798937714,0.798938842,0.798939971,0.80135402,0.989101676,1.044384547,0.798937714,0.807010117,0.809018065
11/30/80,0.363767992,0.368211423,0.366013961,0.391900698,0.42802233,0.363790553,0.374680851,0.374672955,0.377878903,0.506104436,0.54836723,0.363969915,0.371868596,0.373988222,0.36870777,0.36871341,0.370764224,0.36870777,0.36870777,0.368710026,0.369055213,0.526375687,0.589145497,0.36870777,0.37736338,0.379463829
12/1/80,1.310782851,1.315764367,1.317906554,1.393061343,1.517992938,1.310821205,1.327226592,1.327209671,1.343504508,1.704197407,1.861142236,1.311112245,1.319321143,1.325483738,1.316544985,1.316528064,1.322942217,1.316544985,1.316544985,1.316547241,1.317667406,1.755053767,1.989935183,1.316544985,1.326539603,1.334619902
12/2/80,0.850196793,0.856087526,0.865039816,0.985559565,1.247358766,0.849888832,0.878471635,0.878647612,0.912844772,1.627629158,1.930728917,0.850305087,0.860508396,0.875026537,0.855269682,0.85527645,0.87099936,0.855269682,0.85527081,0.855271938,0.857299063,1.703853348,2.159470299,0.855269682,0.868782721,0.886851997
12/3/80,0.663924641,0.665860393,0.674446063,0.792731124,1.062700869,0.663724974,0.695565616,0.695960437,0.72029609,1.455096785,1.758877893,0.66406452,0.675701595,0.698076679,0.663215091,0.66330872,0.674326489,0.663215091,0.663216219,0.663217347,0.66618189,1.523211347,2.006970028,0.663215091,0.678094211,0.703128134
12/4/80,0.586132446,0.588816103,0.593147856,0.690876267,0.903303635,0.586265558,0.617266922,0.617853513,0.642489231,1.220524458,1.460558855,0.586497938,0.599124322,0.622333043,0.585876377,0.586014,0.592987671,0.585876377,0.585876377,0.585877505,0.58832314,1.219931098,1.614231181,0.585876377,0.600512964,0.626453848
12/5/80,0.56200774,0.564182641,0.565553235,0.645405268,0.804060238,0.561022943,0.590961674,0.591641895,0.609795776,1.02155147,1.206044671,0.561202305,0.574394975,0.594807233,0.562840249,0.562902292,0.567344595,0.562840249,0.562841377,0.562841377,0.564967771,0.988403406,1.282981795,0.562840249,0.577324548,0.599867714
12/6/80,0.545445553,0.54733167,0.547443348,0.611777779,0.728874992,0.544064807,0.571526316,0.57226294,0.584673864,0.868005487,1.005466453,0.544215967,0.557670347,0.574414152,0.545390278,0.545474882,0.548665038,0.545390278,0.545391406,0.545392534,0.546943617,0.828764768,1.048450078,0.545390278,0.559700856,0.576811281
12/7/80,0.534458242,0.537154307,0.536020606,0.587992619,0.676249832,0.533466676,0.558520905,0.559282345,0.568566285,0.77021052,0.873325422,0.533595275,0.547095906,0.558932647,0.534846294,0.534875624,0.537122721,0.534846294,0.534847423,0.534847423,0.535963075,0.727586747,0.891348447,0.534846294,0.54896623,0.56244994
