,lmp
2013-07-16,21.353810625
2013-07-17,23.0384514583
2013-07-18,32.5262409028
2013-07-19,37.4318457292
2013-07-20,38.0018987847
2013-07-21,38.8450226389
2013-07-22,43.86091125
2013-07-23,43.7445298611
2013-07-24,41.5396725694
2013-07-25,34.6029143056
2013-07-26,40.9963094444
2013-07-27,35.3406034722
2013-07-28,34.8666871528
2013-07-29,27.6059380208
2013-07-30,36.9043316319
2013-07-31,29.8234740972
2013-08-01,24.0451257639
2013-08-02,51.0190889931
2013-08-03,36.1464890278
2013-08-04,35.6917509375
2013-08-05,36.2197470486
2013-08-06,29.3596931597
2013-08-07,31.8043400694
2013-08-08,33.9524485764
2013-08-09,32.0805599306
2013-08-10,28.4290543056
2013-08-11,30.2150084028
2013-08-12,29.7992655903
2013-08-13,35.5653814931
2013-08-14,35.3689297569
2013-08-15,41.1097551736
2013-08-16,54.707266875
2013-08-17,32.9145370139
2013-08-18,100.675775451
2013-08-19,81.9712530556
2013-08-20,40.6924516667
2013-08-21,37.3238980208
2013-08-22,33.2074269444
2013-08-23,34.3892806944
2013-08-24,36.2649282986
2013-08-25,43.8032275347
2013-08-26,48.8468305208
2013-08-27,45.5119551042
2013-08-28,44.7741547222
2013-08-29,50.5184092014
2013-08-30,51.0699678819
2013-08-31,43.88872875
2013-09-01,35.8178923958
2013-09-02,40.4714706944
2013-09-03,38.3165238194
2013-09-04,40.0116557639
2013-09-05,40.1109388889
2013-09-06,38.2462228819
2013-09-07,39.8397158333
2013-09-08,33.4460223611
2013-09-09,53.8516926736
2013-09-10,33.9442924653
2013-09-11,31.0865852083
2013-09-12,35.9661148264
2013-09-13,34.3201316319
2013-09-14,28.3261247222
2013-09-15,36.7554908681
2013-09-16,34.7766203819
2013-09-17,34.292346875
2013-09-18,34.8334410764
2013-09-19,48.6761740972
2013-09-20,34.7103969444
2013-09-21,37.5341592361
2013-09-22,32.9337742708
2013-09-23,46.7364294097
2013-09-24,38.2516442014
2013-09-25,34.5289040625
2013-09-26,28.3754938889
2013-09-27,38.3309840278
2013-09-28,29.4055030903
2013-09-29,28.8346672569
2013-09-30,42.9986271181
2013-10-01,37.6619631944
2013-10-02,34.8360707986
2013-10-03,36.2004977083
2013-10-04,33.5422715625
2013-10-05,35.5263989931
2013-10-06,38.2088758681
2013-10-07,39.3768816667
2013-10-08,35.0251708681
2013-10-09,41.1713531944
2013-10-10,36.9211490625
2013-10-11,35.4814278472
2013-10-12,34.9965104514
2013-10-13,32.0245240625
2013-10-14,54.1332092361
2013-10-15,37.8044195139
2013-10-16,37.8690768403
2013-10-17,36.960261875
2013-10-18,36.4783061458
2013-10-19,36.1627924306
2013-10-20,37.4336474306
2013-10-21,37.4481787153
2013-10-22,34.0081958681
2013-10-23,34.2185430903
2013-10-24,30.0806857639
2013-10-25,45.3006691667
2013-10-26,36.4083447917
2013-10-27,28.4177144444
2013-10-28,34.6492868056
2013-10-29,59.031760625
2013-10-30,40.4295539236
2013-10-31,36.1444809028
2013-11-01,44.8817728472
2013-11-02,37.9353170139
2013-11-03,23.5579498
2013-11-04,51.4718095486
2013-11-05,48.0422838194
