Date,Control,Treatment,NewFireModel_Treatment,NewFireModel_Control,OldFireModel_Extreme_Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Treatment,OldFireModel_Moderate_Treatment,bias_cor
1981-4-6,2.702709365,3.001807893,2.979412504,2.838732053,5.34164833,2.852522595,4.794361782,2.983999198,1.06706579
1981-4-7,3.026531599,3.540842677,3.445308344,3.315814871,6.544509613,3.372578886,5.445075704,3.490020158,1.06706579
1981-4-8,3.097722382,3.616556983,3.702998019,3.225663643,6.953630158,3.301269656,5.850181481,3.765559138,1.06706579
1981-4-9,3.527522536,4.023353723,4.089013624,3.621245203,7.880950205,3.672126382,6.490499195,4.129806555,1.06706579
1981-4-10,3.888429766,4.34956519,4.370821238,3.974654214,8.210751161,4.00920897,6.569383352,4.400505027,1.06706579
1981-4-11,4.509946092,4.946498817,4.95353566,4.665078129,8.386612441,4.689168993,7.102882742,4.983561252,1.06706579
1981-4-12,5.264627729,5.706728257,5.707620553,5.389298742,9.092320451,5.409247368,8.069213385,5.739020122,1.06706579
1981-4-13,6.087481459,6.561894157,6.588346053,6.261210704,10.05189175,6.2796466,8.527372984,6.616328726,1.06706579
1981-4-14,7.043321137,7.598789509,7.660448179,7.246848105,12.38388991,7.260839442,9.48358605,7.684945145,1.06706579
1981-4-15,7.601194534,8.217434921,8.308460396,7.782822461,11.47689075,7.762001844,9.901768307,8.30962681,1.06706579
1981-4-16,8.155723232,8.669078842,8.77447581,8.326333389,11.5987935,8.28234015,10.41518822,8.754812584,1.06706579
1981-4-17,8.327934108,8.787013077,8.892572485,8.507945523,10.96830684,8.453477112,9.992075206,8.841167887,1.06706579
1981-4-18,9.702709586,10.17057164,10.26173586,9.729801092,12.82471686,9.675539116,11.34701374,10.18671306,1.06706579
1981-4-19,8.60611275,8.849638495,8.894467627,8.658335192,10.04641163,8.675767114,9.52995837,8.93338685,1.06706579
1981-4-20,7.135721717,7.146228475,7.195955647,7.20014188,8.228317323,7.206480453,7.852030113,7.23084882,1.06706579
1981-4-21,5.968510536,5.924698915,5.968631239,6.041122676,6.957172269,6.040325137,6.545894872,5.980412705,1.06706579
1981-4-22,5.426072393,5.39906098,5.447674756,5.490194748,6.471121368,5.506588854,6.105911715,5.428593609,1.06706579
1981-4-23,5.309345184,5.346319629,5.436862294,5.392792346,6.331862274,5.370818852,6.213771239,5.403511179,1.06706579
1981-4-24,5.612805922,5.839419781,5.960999908,5.776027282,6.725290366,5.698296003,6.794090789,5.923439999,1.06706579
1981-4-25,5.923679148,6.098442825,6.223611313,6.079449667,6.921834639,6.047597744,6.798503762,6.20542923,1.06706579
1981-4-26,5.938687996,6.021406431,6.123466595,6.055817923,6.681631033,5.985756328,6.596005585,6.082417594,1.06706579
1981-4-27,5.542912409,5.643368471,5.681533021,5.625507886,6.132697516,5.542998142,6.020634837,5.621379184,1.06706579
1981-4-28,5.627453791,5.698876954,5.770795336,5.695560456,5.948627338,5.595540953,5.936041565,5.688859775,1.06706579
1981-4-29,5.925745755,6.009692649,6.11737958,6.040981668,6.035580514,5.911663045,6.080902609,6.002255344,1.06706579
1981-4-30,6.312883781,6.275886774,6.39787413,6.397986936,6.310629915,6.26206803,6.412197117,6.268746149,1.06706579
1981-5-1,6.534562374,6.472466016,6.602324981,6.633404181,6.735359436,6.484812641,6.807524864,6.459800151,1.06706579
1981-5-2,6.915209539,6.888370718,7.056944726,7.042890218,7.08296119,6.865068368,7.140500182,6.884885011,1.06706579
1981-5-3,6.54552374,6.522870025,6.698866672,6.7192214,6.868207761,6.500675431,6.912529266,6.481321293,1.06706579
1981-5-4,6.143658882,6.153954692,6.325539494,6.29136151,6.747367642,6.081595238,6.719703081,6.121163095,1.06706579
1981-5-5,5.700126845,5.764069839,5.94621216,5.866453756,6.425947049,5.652180881,6.302109673,5.738399689,1.06706579
1981-5-6,5.432477522,5.484653714,5.659921634,5.610290347,6.223912505,5.395365453,6.047371004,5.454452145,1.06706579
1981-5-7,5.270024372,5.295554642,5.476677197,5.448094394,5.969899179,5.235747119,5.791671228,5.274508413,1.06706579
1981-5-8,5.683035598,5.684187348,5.886614457,5.873562795,6.214636462,5.656118941,6.073676252,5.67419273,1.06706579
1981-5-9,6.049367672,5.968627855,6.176837403,6.253053697,6.447784048,6.030778359,6.224458486,5.962606267,1.06706579
1981-5-10,6.342638638,6.253450774,6.46884607,6.554620422,6.61595421,6.32287727,6.478343213,6.245147119,1.06706579
1981-5-11,6.381181088,6.242803009,6.454993484,6.586545668,6.50537606,6.347229845,6.384136607,6.225693713,1.06706579
1981-5-12,6.440508057,6.321858632,6.529459028,6.649424899,6.337625536,6.40489518,6.284413785,6.294390353,1.06706579
