date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
4/30/04,10892,10892,15675,11011,11131,14240
5/31/04,5308,5460,5185,5535,5573,4877
6/30/04,35184,35304,40782,36461,36461,40785
7/31/04,76273,76275,76645,76275,76276,76645
8/31/04,63414,63416,63430,63298,63418,63427
9/30/04,54501,54503,54878,54504,54507,54876
10/31/04,542,542,542,542,542,542
11/30/04,24380,24378,26105,24378,24378,25876
12/31/04,58824,59166,75322,59164,59396,69678
1/31/05,2122,2122,2120,2122,2122,2122
2/28/05,4780,4901,6200,5020,5020,5616
3/31/05,9761,9761,9761,9762,9762,9766
4/30/05,25397,25398,27329,25519,25520,27812
5/31/05,90129,90131,90841,90104,90273,90735
6/30/05,89745,89745,89744,89745,89745,89744
7/31/05,89214,89213,89193,89206,89209,89207
8/31/05,76000,75999,76074,75986,76225,76211
9/30/05,56694,56693,56663,56682,56682,56803
10/31/05,431,431,432,431,431,431
11/30/05,33843,33845,38987,33961,33847,37466
12/31/05,64842,65076,80992,65766,66110,75965
1/31/06,67902,67777,76182,67897,68262,73042
2/28/06,72043,72065,72272,72142,72120,72249
3/31/06,53964,53983,54085,53979,54003,54064
4/30/06,91489,91489,91489,91489,91489,91489
5/31/06,93579,93579,93579,93579,93579,93579
6/30/06,88918,88918,88918,88918,88918,88918
7/31/06,88801,88801,88801,88801,88801,88801
8/31/06,75329,75329,75329,75329,75329,75329
9/30/06,43469,43469,43470,43469,43469,43469
10/31/06,491,491,491,491,491,491
11/30/06,34994,35225,38352,35221,35221,38126
12/31/06,78019,78013,78002,78007,78008,78009
1/31/07,609,609,609,609,609,609
2/28/07,2391,2391,2391,2391,2391,2391
3/31/07,2535,2535,2535,2535,2535,2535
4/30/07,357,357,357,357,357,357
5/31/07,3439,3439,3438,3439,3439,3438
6/30/07,10416,10416,10415,10416,10416,10415
7/31/07,56867,56985,60645,57104,57224,59937
8/31/07,55757,55870,58883,56456,56458,58067
9/30/07,50410,50405,54181,50406,50524,52886
10/31/07,621,621,621,621,621,621
11/30/07,22794,22679,26376,22794,23024,24877
12/31/07,47612,47840,62423,47840,48070,58405
1/31/08,56,56,56,56,56,56
2/29/08,261,261,261,261,261,261
3/31/08,1810,1810,1810,1810,1810,1810
4/30/08,1150,1150,1150,1150,1150,1150
5/31/08,514,514,514,514,514,514
6/30/08,12975,12975,13094,12975,12975,13094
7/31/08,67917,67919,79323,68745,68862,75212
8/31/08,57741,57743,62607,58087,58200,61500
9/30/08,47872,48105,52026,48448,48558,51371
10/31/08,436,436,437,436,436,436
11/30/08,26765,26764,31972,26996,27111,30119
12/31/08,40631,40973,51492,41087,41201,48516
1/31/09,378,378,378,378,378,378
2/28/09,1619,1619,1619,1619,1619,1619
3/31/09,4230,4230,4257,4230,4230,4244
4/30/09,12843,13082,15642,13684,13806,15398
5/31/09,61180,61175,61126,61175,61171,61122
6/30/09,48923,48923,49646,48922,48923,49770
7/31/09,86136,86136,86006,86137,86139,86004
8/31/09,65140,65140,64914,65142,65146,64910
9/30/09,52905,52905,52945,52907,52911,53014
10/31/09,455,455,455,455,455,455
11/30/09,29855,30201,39398,30894,31352,36298
12/31/09,45060,45401,57965,45515,45628,53968
1/31/10,358,358,358,358,358,358
2/28/10,1175,1175,1175,1175,1175,1175
3/31/10,2103,2103,2103,2103,2103,2103
4/30/10,4185,4185,6010,4185,4185,5886
5/31/10,66290,66778,63352,67484,68271,64951
6/30/10,87246,87245,83312,86977,86513,83391
7/31/10,89537,89535,89515,89530,89532,89520
8/31/10,83130,83121,83070,83112,83114,83083
9/30/10,65662,65658,65802,65647,65649,65785
10/31/10,517,517,518,517,517,517
11/30/10,30628,30629,34722,30629,30630,33779
12/31/10,49818,50046,62796,49932,50047,58426
1/31/11,25784,26143,31446,26261,26501,29253
2/28/11,35250,35606,37531,35722,35722,36548
3/31/11,51009,51105,49541,51260,51252,50644
4/30/11,90976,90976,91144,90967,90967,91041
5/31/11,94185,94185,94115,94183,94183,94148
6/30/11,90884,90884,90884,90884,90884,90884
7/31/11,91418,91418,91418,91418,91418,91418
8/31/11,89147,89147,89147,89147,89147,89147
9/30/11,74682,74682,74877,74682,74682,74859
10/31/11,360,360,361,360,360,360
11/30/11,66363,66245,76346,66708,66826,74844
12/31/11,78726,78726,78800,78717,78718,78693
1/31/12,7410,7409,7409,7409,7409,7409
2/29/12,2126,2126,2126,2126,2126,2126
3/31/12,6124,6124,6123,6124,6124,6123
4/30/12,4794,4794,4917,4794,4794,4794
5/31/12,807,807,2806,807,807,1411
6/30/12,17151,17633,39257,20399,20640,35521
7/31/12,86735,86724,86696,86664,86777,86695
8/31/12,66394,66384,66878,66341,66334,66763
9/30/12,51807,51802,52563,51885,51767,52337
10/31/12,589,589,589,589,589,589
11/30/12,42911,42911,45736,42911,42911,45028
12/31/12,61006,61120,66196,61120,61120,64693
1/31/13,648,648,1249,648,648,768
2/28/13,2198,2435,7428,2435,2554,5524
3/31/13,4868,5227,9442,5471,5471,7877
4/30/13,15436,14894,15084,14045,14015,14121
5/31/13,28313,28313,20576,28313,28313,22498
6/30/13,20461,20461,20979,20461,20461,20461
7/31/13,67338,67457,74547,67777,67777,73127
8/31/13,65666,66142,72449,66259,66614,71411
9/30/13,60153,60510,67851,60638,60989,65750
10/31/13,498,498,498,498,498,498
11/30/13,40427,40427,45605,40416,40417,43981
12/31/13,81432,81433,81425,81418,81420,81406
1/31/14,7221,7221,7222,7221,7221,7222
2/28/14,3137,3137,3137,3137,3137,3137
3/31/14,2373,2373,2373,2373,2373,2373
4/30/14,983,983,983,983,983,983
5/31/14,7790,7790,7791,7790,7790,7791
6/30/14,12358,12358,12359,12358,12358,12359
7/31/14,51866,51865,56767,52332,52450,55247
