date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
11Dec1989,113682,113686,114568,113765,113751,114211
12Dec1989,113117,113120,113800,113200,113186,113521
13Dec1989,112333,112336,113057,112415,112401,112751
14Dec1989,111799,111803,112400,111882,111868,112139
15Dec1989,111191,111195,111662,111274,111260,111519
16Dec1989,110553,110589,111005,110635,110622,110907
17Dec1989,109909,109945,110342,109991,109977,110251
18Dec1989,109297,109333,109639,109379,109365,109521
19Dec1989,108721,108757,108933,108803,108789,108716
20Dec1989,108111,108181,108344,108194,108180,108166
21Dec1989,107528,107597,107715,107577,107596,107616
22Dec1989,107015,107084,107045,107064,107083,106985
23Dec1989,106430,106499,106454,106479,106499,106361
24Dec1989,105781,105851,105787,105831,105850,105733
25Dec1989,105317,105387,105199,105367,105386,105190
26Dec1989,104414,104484,104494,104463,104483,104485
27Dec1989,103694,103763,103755,103743,103763,103819
28Dec1989,103044,103113,103126,103093,103113,103123
29Dec1989,102424,102494,102416,102474,102493,102347
30Dec1989,101655,101652,101555,101632,101651,101565
31Dec1989,100812,100809,100766,100789,100808,100782
01Jan1990,100829,100826,100783,100806,100825,100799
02Jan1990,100863,100860,100817,100840,100860,100833
03Jan1990,100884,100881,100838,100861,100880,100854
04Jan1990,100902,100899,100856,100879,100899,100872
05Jan1990,100917,100915,100871,100894,100914,100887
06Jan1990,100930,100927,100884,100907,100927,100900
07Jan1990,101669,101666,101623,101646,101665,101639
08Jan1990,103280,103277,103234,103257,103276,103250
09Jan1990,103709,103706,103663,103686,103706,103679
10Jan1990,103991,103989,103945,103968,103988,103962
11Jan1990,104225,104222,104179,104202,104221,104195
12Jan1990,104475,104473,104429,104453,104472,104446
13Jan1990,104794,104791,104748,104771,104790,104764
14Jan1990,105046,105043,105000,105023,105042,105016
15Jan1990,105265,105263,105219,105242,105262,105236
16Jan1990,105469,105466,105423,105446,105465,105439
17Jan1990,105639,105636,105593,105616,105636,105609
18Jan1990,105810,105807,105764,105787,105806,105780
19Jan1990,105981,105978,105935,105958,105977,105951
20Jan1990,106152,106149,106106,106129,106148,106122
21Jan1990,106323,106320,106277,106300,106319,106293
22Jan1990,106494,106491,106448,106471,106490,106464
23Jan1990,106651,106648,106605,106628,106647,106621
24Jan1990,106819,106816,106773,106796,106815,106789
25Jan1990,106987,106984,106941,106964,106983,106957
26Jan1990,107157,107154,107111,107134,107153,107127
27Jan1990,107310,107307,107264,107287,107306,107280
28Jan1990,107456,107453,107410,107433,107452,107426
29Jan1990,107602,107599,107556,107579,107599,107572
30Jan1990,107748,107745,107702,107725,107744,107718
31Jan1990,107890,107887,107844,107867,107887,107860
01Feb1990,108035,108032,107989,108012,108031,108005
02Feb1990,108188,108185,108142,108165,108184,108158
03Feb1990,108344,108341,108298,108321,108340,108314
04Feb1990,108503,108500,108457,108480,108499,108473
05Feb1990,108659,108656,108613,108636,108655,108629
06Feb1990,108813,108811,108767,108791,108810,108784
