date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
29Jul2000,110414,110698,113381,111612,111737,113450
30Jul2000,109896,110180,112862,111094,111219,112898
31Jul2000,109268,109519,112199,110433,110558,112235
01Aug2000,108631,108881,111561,109796,109920,111597
02Aug2000,107994,108244,110924,109158,109283,110960
03Aug2000,107356,107607,110286,108521,108646,110322
04Aug2000,106852,107069,109747,107983,108108,109783
05Aug2000,106347,106564,109242,107478,107603,109278
06Aug2000,105743,105960,108638,106874,106999,108674
07Aug2000,105205,105423,108066,106336,106428,108102
08Aug2000,104668,104885,107528,105798,105890,107564
09Aug2000,103932,104149,106792,105062,105154,106828
10Aug2000,103196,103413,106022,104326,104418,106058
11Aug2000,102559,102776,105385,103690,103781,105421
12Aug2000,102055,102272,104880,103185,103277,104916
13Aug2000,101419,101636,104210,102516,102607,104246
14Aug2000,100782,100999,103507,101846,101938,103543
15Aug2000,100146,100363,102871,101210,101301,102906
16Aug2000,99477,99694,102168,100540,100632,102203
17Aug2000,98774,98991,101465,99838,99929,101501
18Aug2000,98138,98355,100795,99202,99293,100831
19Aug2000,97634,97851,100291,98698,98789,100327
20Aug2000,97032,97248,99687,98095,98186,99723
21Aug2000,96429,96645,99051,97492,97550,99087
22Aug2000,95859,96076,98481,96922,96980,98517
23Aug2000,95190,95407,97812,96253,96311,97847
24Aug2000,94455,94672,97076,95518,95576,97112
