,SFMD,FMD_storage,SHHL,HHL_storage,RFMD,FMD_out_FMPH,RHHL,HHL_out_MFPH
1995-10-30,88.17403898634313,70.4,143.9826028176267,142.9,399.9999993264,350.0,919.9999984507199,575.0
1995-10-31,87.36911336786392,69.7,142.9768176953535,142.4,399.9999993264,351.0,919.9999984507199,618.0
1995-11-01,86.6278241129139,69.5,141.77169373044077,141.3,399.9999993264,131.0,919.9999984507199,600.0
1995-11-02,85.80884890768148,69.2,140.74590860820123,140.3,399.9999993264,114.0,919.9999984507199,624.0
1995-11-03,85.00392328920226,68.5,139.66194166787787,139.7,399.9999993264,351.0,919.9999984507199,630.0
1995-11-04,84.19840262940173,67.8,138.66607390095984,139.2,399.9999993264,351.0,919.9999984507199,624.0
1995-11-05,83.3792290770622,67.0,137.4781400186628,138.5,399.9999993264,350.0,919.9999984507199,627.0
1995-11-06,82.5697414751196,66.3,136.43384249976023,137.9,399.9999993264,349.0,919.9999984507199,648.0
1995-11-07,81.76025387317699,65.6,135.39549539407076,137.3,399.9999993264,349.0,919.9999984507199,651.0
1995-11-08,80.94108032083747,64.8,134.29962762732114,136.7,399.9999993264,351.0,919.9999984507199,624.0
1995-11-09,80.23555966086855,64.2,133.388718537946,136.4,399.9999993264,351.0,919.9999984507199,566.0
1995-11-10,79.41638610852903,63.4,132.27450366378926,136.7,399.9999993264,351.0,919.9999984507199,161.0
1995-11-11,78.61086544872849,62.7,131.32028878936308,136.2,399.9999993264,351.0,919.9999984507199,645.0
1995-11-12,77.90137784661748,62.1,130.27004085724738,135.6,399.9999993264,349.0,919.9999984507199,645.0
1995-11-13,77.08220429427796,61.3,129.42375986693696,135.2,399.9999993264,347.0,919.9999984507199,645.0
1995-11-14,76.27073322126431,60.6,128.24574333999513,134.5,399.9999993264,348.0,919.9999984507199,630.0
1995-11-15,75.45727867717962,59.9,127.18359458145322,133.9,399.9999993264,347.0,919.9999984507199,636.0
1995-11-16,74.64184066202388,59.2,126.1123549138357,133.4,399.9999993264,346.0,919.9999984507199,581.0
1995-11-17,73.82266710968436,58.5,125.17285078318642,133.0,399.9999993264,331.0,919.9999984507199,581.0
1995-11-18,73.00349355734484,58.4,124.16375987579482,132.1,399.9999993264,23.0,919.9999984507199,490.0
1995-11-19,72.18432000500532,58.2,123.10706566269826,131.2,399.9999993264,23.0,919.9999984507199,466.0
1995-11-20,71.46970843596078,57.7,122.16061938330034,131.4,399.9999993264,296.0,919.9999984507199,240.0
1995-11-21,70.65053488362126,57.0,121.15301607921202,131.4,399.9999993264,342.0,919.9999984507199,356.0
1995-11-22,69.83136133128174,56.5,120.03533013068098,130.8,399.9999993264,232.0,919.9999984507199,493.0
1995-11-23,69.02964232436737,56.5,118.99566071094418,129.8,399.9999993264,0.0,919.9999984507199,502.0
1995-11-24,68.227923317453,56.5,117.9024375722893,128.8,399.9999993264,0.0,919.9999984507199,475.0
1995-11-25,67.52660100458445,56.6,116.9123549293285,127.8,399.9999993264,0.0,919.9999984507199,527.0
1995-11-26,66.72488199767008,56.6,115.97747889784497,127.0,399.9999993264,0.0,919.9999984507199,454.0
1995-11-27,65.92316299075571,56.6,114.85566071791594,125.9,399.9999993264,0.0,919.9999984507199,511.0
1995-11-28,65.10398943841619,56.5,113.72359460411985,125.0,399.9999993264,0.0,919.9999984507199,405.0
1995-11-29,64.3014770430734,56.5,112.68243758107977,124.3,399.9999993264,0.0,919.9999984507199,350.0
1995-11-30,63.49896464773062,56.5,111.65433840925736,123.5,399.9999993264,0.0,919.9999984507199,408.0
1995-12-01,62.69665059949494,56.5,110.5877268408056,122.6,399.9999993264,0.0,919.9999984507199,439.0
1995-12-02,61.994931592412165,56.6,109.54772684255695,121.8,399.9999993264,0.0,919.9999984507199,402.0
1995-12-03,61.1932125854978,56.6,108.54342932358703,121.0,399.9999993264,0.0,919.9999984507199,420.0
1995-12-04,60.492286966843444,56.7,108.12921444825152,120.8,399.9999993264,0.0,919.9999984507199,414.0
1995-12-05,59.79056795976067,56.8,107.06855329301288,119.9,399.9999993264,0.0,919.9999984507199,442.0
1995-12-06,58.988848952846304,56.8,106.02855329476424,119.1,399.9999993264,0.0,919.9999984507199,402.0
1995-12-07,58.28772498708485,56.9,104.98855329651559,118.3,399.9999993264,0.0,919.9999984507199,402.0
1995-12-08,57.48660102149179,56.9,104.02442106673423,117.8,399.9999993264,0.0,919.9999984507199,289.0
1995-12-09,56.68547705589874,56.9,102.99037148169872,117.0,399.9999993264,0.0,919.9999984507199,405.0
1995-12-10,55.88435309030568,56.9,101.91714834301015,116.5,399.9999993264,0.0,919.9999984507199,234.0
1995-12-11,55.78898118963984,57.6,102.07962768157951,117.2,399.9999993264,0.0,919.9999984507199,250.0
