date,streamflow,streamflow_thin,streamflow_fire,streamflow_fire_temperature
11/17/01,36.46826449,37.28854997,38.36259769,37.04705754
11/18/01,30.96747973,31.56878073,32.53403337,31.53009892
11/19/01,26.22929634,26.76251576,27.66442743,26.75351258
11/20/01,22.20379845,22.66837857,23.54551157,22.72307489
11/21/01,246.8829022,245.8739483,262.7930782,293.7542637
11/22/01,179.1079851,178.9987916,196.0229719,363.3690169
11/23/01,175.1588549,166.6955452,170.437164,309.153529
11/24/01,187.0746059,200.9507001,254.7650286,549.0309997
11/25/01,119.5260829,119.3724711,145.3527856,300.9711505
11/26/01,101.6963568,103.117027,113.732376,230.39473
11/27/01,88.9313986,90.37206704,96.2558854,191.9346908
11/28/01,88.55442024,90.06412635,110.336822,205.8363206
11/29/01,73.66028919,75.39001554,81.20746532,214.3806589
11/30/01,66.81006292,68.54301607,71.56975833,220.7082225
12/1/01,104.1359004,104.8438453,128.4677164,411.8559715
12/2/01,146.3806621,146.8578308,177.2169185,1110.922447
12/3/01,88.3365512,94.32956302,89.88485946,472.9253108
12/4/01,77.18232596,80.65608018,79.66270256,367.7622111
12/5/01,107.5687419,120.0743209,126.6430981,847.2609602
12/6/01,183.780995,203.2360742,301.1389443,1013.520688
12/7/01,99.12758172,108.6482075,147.0137531,658.832451
12/8/01,131.7769435,136.0636531,198.6689513,653.479422
12/9/01,85.64236895,101.4390491,108.8300638,342.2855967
12/10/01,74.24605373,80.26432226,90.09950169,232.7367922
12/11/01,66.4352756,70.20597547,79.76552209,191.2959827
12/12/01,63.66153868,67.61218268,128.5789416,243.9271098
12/13/01,147.8187412,168.9339115,269.0848682,545.533144
12/14/01,78.61295546,93.98317954,137.9426889,303.5482117
12/15/01,66.74110492,71.23771621,108.0622039,258.5550096
12/16/01,63.61222037,66.96925192,155.301182,315.3409458
12/17/01,109.8926384,144.3881305,327.5774252,931.800519
12/18/01,80.6686687,79.10346952,177.584814,669.7884071
12/19/01,89.47987562,99.0555961,204.0304257,581.9369919
12/20/01,92.80961877,66.11375046,178.9697902,581.9100621
12/21/01,62.72409233,58.35352559,124.1334413,393.9031887
12/22/01,52.665387,55.61767375,122.1658875,455.0508876
12/23/01,49.04232338,50.00873129,113.6187208,492.8292345
12/24/01,64.40346461,74.09825813,121.2476426,398.4378842
